,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service,->_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadUserReview_user-review-service,27
0,-1,-1,1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,4245,-1,-1,-1,3114,-1,-1,-1,-1,5416,1983
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405,4314,1284,-1,-1,3377,-1,-1,-1,-1,2101,3727
2,1199,-1,1177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3314,3804,-1,-1,-1,4354,-1,-1,3720,-1,-1,-1
3,-1,-1,86,514,5319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1173,1128,-1,-1,-1,-1,-1,-1,-1,-1,301
4,-1,-1,1329,-1,-1,-1,-1,-1,-1,332,-1,-1,-1,-1,-1,-1,3095,373,4235,-1,-1,4799,-1,-1,-1,-1,-1,5178
5,-1,-1,1304,-1,6175,-1,-1,5504,-1,-1,-1,-1,-1,5400,-1,-1,-1,-1,4763,-1,-1,-1,-1,-1,-1,-1,-1,1282
6,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2233,4233,3830,-1,-1,118,-1,-1,-1,-1,-1,3417
7,2541,-1,1348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1333,4406,85,-1,-1,83,-1,-1,738,-1,-1,-1
8,-1,-1,101,3481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1314,-1,4651,-1,4359,-1,-1,-1,-1,4262
9,5145,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2393,1056,-1,-1,-1,1079,-1,-1,3787,-1,-1,-1
10,-1,-1,3820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2389,3456,-1,-1,-1,1126,-1,-1,-1,-1,100,3912
11,-1,-1,5098,-1,-1,-1,-1,-1,-1,-1,-1,4625,-1,-1,-1,3068,-1,1156,-1,-1,-1,-1,-1,4730,-1,-1,-1,3299
12,-1,-1,4669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4456,-1,4358,-1,-1,1340,-1,-1,1364,-1,-1,140
13,3901,-1,2482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1161,-1,-1,-1,99,-1,-1,-1,-1,3431,1173
14,3213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3790,1176,-1,-1,3890,-1,-1,4077,-1,-1,94
15,3547,-1,3201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2106,-1,3644,-1,-1,3855,-1,-1,-1,-1,-1,109
16,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43
17,5329,-1,4840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3348,109,-1,-1,1484,-1,-1,-1,-1,-1,1464
18,1415,-1,1395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,397,-1,2325,-1,-1,4547,-1,5444,-1,-1,92,-1
19,-1,-1,4200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1206,1184,2758,-1,-1,4922,-1,-1,109,-1,-1,-1
20,4482,-1,3801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1161,-1,3901,-1,-1,99,-1,-1,-1,-1,1173,-1
21,1054,-1,2356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3805,-1,-1,-1,3356,-1,-1,-1,-1,1077,3716
22,1356,-1,2571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3388,3719,95,-1,-1,-1,-1,-1,-1,-1,-1,3833
23,1131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1106,4546,-1,-1,5292,-1,-1,147,-1,-1,2908
24,-1,-1,3104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5389,3964,-1,-1,-1,1553,-1,-1,-1,-1,4845,4745
25,1599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2787,3706,-1,-1,-1,4178,-1,-1,-1,-1,4277,1588
26,-1,2961,1361,-1,-1,-1,-1,-1,-1,-1,-1,3618,-1,-1,-1,-1,-1,2738,-1,-1,-1,-1,-1,1358,-1,-1,-1,4147
27,1328,-1,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4100,2796,-1,-1,3632,-1,-1,-1,-1,-1,4552
28,3849,-1,3443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3940,2487,3978,-1,-1,-1,-1,-1,1101,-1,-1,-1
29,2859,-1,4697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1976,-1,-1,1033,-1,-1,3897,-1,-1,4001
30,226,-1,-1,-1,-1,-1,-1,-1,-1,5150,-1,-1,-1,-1,-1,-1,-1,137,5738,-1,-1,5253,-1,-1,1464,-1,-1,4230
31,90,-1,1179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5217,332,-1,-1,-1,-1,-1,1166,-1,-1,5570
32,3457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,1140,2294,-1,-1,-1,-1,-1,5146,-1,-1,4861
33,1209,-1,2368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1223,-1,-1,-1,-1,3738,-1,-1,3839,-1,-1,3351
34,-1,-1,3544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4847,-1,2309,-1,-1,4231,-1,-1,-1,-1,5719,91
35,3468,-1,1114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3928,-1,1092,-1,-1,2005,-1,-1,95,-1,-1,-1
36,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1231,1210,5455,4532,-1,-1,-1,-1,-1,-1,-1,4612
37,1134,-1,2170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3190,75,-1,-1,-1,3674,-1,-1,-1,-1,-1,3552
38,1157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1145,4224,3349,-1,-1,5301,-1,-1,4899,-1,-1,-1
39,1279,-1,3361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1300,4792,-1,-1,4871,-1,-1,-1,-1,-1,5816
40,1228,-1,4639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1207,4353,-1,-1,-1,2776,-1,-1,-1,-1,-1,4243
41,104,-1,4176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1208,-1,4426,-1,-1,-1,-1,-1,-1,-1,4072,3714
42,-1,-1,3658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1263,-1,4070,-1,-1,1239,-1,-1,4181,-1,-1,2355
43,2497,-1,1456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3515,4596,-1,-1,-1,-1,-1,-1,-1,3970,95
44,-1,-1,4826,-1,-1,-1,-1,-1,-1,306,-1,-1,-1,-1,-1,-1,5617,4162,350,-1,-1,-1,-1,-1,-1,-1,4753,969
45,5018,-1,3881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,105,3779,-1,-1,-1,-1,-1,-1,1186,-1,-1,3163
46,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3788,4292,2516,-1,-1,3688,-1,-1,3300,-1,-1,-1
47,5712,-1,-1,-1,-1,-1,-1,-1,-1,3235,-1,-1,-1,-1,-1,-1,5097,-1,4298,-1,-1,5000,-1,-1,317,-1,-1,107
48,1143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3820,90,1165,-1,-1,4382,-1,-1,-1,-1,2797,-1
49,-1,-1,5537,-1,-1,-1,-1,-1,-1,-1,-1,-1,5094,-1,-1,-1,1232,4316,115,-1,-1,-1,-1,-1,-1,-1,-1,1264
50,6210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5078,-1,7237,-1,-1,6743,-1,-1,-1,-1,307,6880
51,3816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3517,1040,104,-1,-1,3623,-1,-1,-1,-1,-1,2010
52,-1,-1,3669,-1,-1,-1,-1,-1,-1,-1,-1,1049,-1,-1,-1,2340,-1,1041,-1,-1,-1,-1,-1,3470,-1,-1,-1,2568
53,-1,-1,5454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,322,102,3164,-1,-1,5000,-1,-1,4878,-1,-1,1081
54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,642,1198,-1,3088,-1,3734,-1,-1,1177,-1,3832
55,3467,-1,4711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1142,1119,-1,-1,-1,-1,-1,4615,-1,-1,4898
56,1411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2641,5580,-1,-1,-1,1423,-1,-1,5082,-1,-1,134
57,-1,-1,3808,-1,-1,-1,-1,-1,-1,-1,-1,1050,-1,-1,-1,-1,-1,3036,4312,-1,-1,-1,-1,2799,-1,-1,-1,3702
58,977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,257,3828,-1,-1,4321,-1,-1,3713,-1,-1,1000
59,5085,-1,1355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4265,116,-1,-1,-1,4352,-1,-1,-1,-1,1375,-1
60,-1,-1,2248,-1,-1,-1,-1,-1,-1,-1,-1,965,-1,-1,-1,3684,-1,2877,3563,-1,-1,-1,-1,3917,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,721
62,88,-1,3361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4871,4792,-1,-1,-1,-1,-1,1300,-1,-1,2407
63,2824,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4946,1651,169,-1,-1,-1,-1,-1,-1,-1,3872,4289
64,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4192,4270,1186,-1,-1,-1,-1,-1,-1,-1,1196,4436
65,3563,-1,4467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,4279,-1,-1,-1,-1,-1,-1,-1,-1,1171,2804
66,-1,-1,2916,-1,3897,-1,1204,-1,-1,-1,4903,-1,-1,-1,-1,-1,-1,3101,-1,-1,-1,-1,-1,-1,-1,-1,-1,238
67,2349,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1037,1056,-1,-1,-1,-1,-1,-1,4446,-1,-1,3426
68,5278,-1,1407,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3327,-1,4265,-1,-1,-1,-1,-1,4687,-1,-1,88
69,4660,-1,2313,-1,4578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,603,-1,-1,5208,-1,-1,1258,-1,-1,1240
70,3185,-1,1072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2154,-1,-1,3731,-1,-1,-1,-1,101,4266
71,-1,-1,4426,-1,-1,-1,-1,-1,-1,-1,-1,4942,-1,-1,-1,1850,-1,1871,-1,-1,-1,-1,-1,3666,-1,-1,-1,4330
72,-1,-1,1126,-1,-1,-1,-1,-1,-1,3235,-1,-1,-1,-1,-1,-1,5097,107,4298,-1,-1,-1,-1,-1,375,-1,-1,5712
73,8428,-1,8309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7197,8795,2264,-1,-1,1142,-1,-1,-1,-1,-1,-1
74,-1,-1,-1,-1,-1,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,995
75,1389,-1,4061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4752,-1,-1,-1,-1,5560,-1,-1,-1,-1,105,4923
76,-1,-1,4859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4764,90,-1,-1,-1,5215,-1,-1,1097,-1,-1,1083
77,-1,-1,3715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1206,104,1192,-1,-1,-1,-1,-1,4841,-1,-1,3176
78,-1,-1,1176,-1,-1,-1,-1,-1,5020,-1,-1,-1,-1,-1,-1,-1,4449,1189,-1,4863,-1,-1,-1,-1,-1,-1,-1,5507
79,-1,-1,-1,-1,-1,838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,165
80,-1,-1,3856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3760,-1,1331,-1,-1,111,-1,-1,-1,-1,1352,2441
81,-1,2994,121,-1,-1,-1,-1,-1,-1,-1,-1,720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4618,1136,-1,-1,-1,4934
82,4010,-1,3536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,1023,3902,-1,-1,1859,-1,-1,-1,-1,-1,-1
83,-1,-1,3048,1326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4254,-1,115,-1,4156,-1,-1,-1,-1,1314
84,-1,-1,4628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4046,3940,1202,-1,-1,-1,-1,-1,-1,-1,2560,3507
85,1146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3458,-1,1138,-1,-1,3843,-1,-1,-1,-1,88,3163
86,-1,-1,1381,-1,-1,-1,-1,-1,6099,-1,-1,-1,5038,-1,-1,-1,-1,4925,1403,-1,-1,-1,-1,-1,-1,-1,-1,4015
87,-1,-1,3451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1143,3307,-1,-1,2839,-1,-1,-1,-1,3404,83
88,1364,-1,4358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4669,3892,-1,-1,-1,-1,-1,4456,-1,-1,2978
89,3882,-1,4294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5002,1130,1114,-1,-1,-1,-1,-1,-1,-1,-1,2820
90,-1,-1,3402,-1,-1,-1,-1,-1,4502,-1,-1,-1,-1,-1,-1,-1,1103,-1,1070,3911,-1,-1,-1,-1,-1,-1,-1,94
91,3521,-1,3413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1119,95,-1,-1,2137,-1,-1,-1,-1,-1,3757
92,1226,-1,1249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2508,3781,-1,-1,-1,-1,-1,-1,-1,5502,4569
93,2482,-1,3489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4421,5178,-1,-1,-1,-1,-1,-1,154,-1,-1,1245
94,-1,-1,4382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4845,-1,1165,-1,-1,3820,-1,-1,-1,-1,2797,1143
95,1183,-1,4811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,1154,4201,-1,-1,4732,-1,-1,-1,-1,-1,-1
96,-1,-1,3713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1172,98,-1,-1,2226,-1,-1,-1,-1,3600,3196
97,1126,-1,2207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3299,-1,-1,-1,-1,3778,-1,-1,1150,-1,-1,3865
98,2065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,5909,-1,-1,-1,5045,-1,-1,5140,-1,-1,2082
99,94,-1,1193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1163,4323,-1,-1,-1,-1,-1,4754,-1,-1,3340
